Rank,Title,Studio,Gross,Gross Theaters,Opening,Opening Theaters,Date
1,Black Panther,BV,"$700,059,566 ",4084,"$202,003,951 ",4020,2/16/18
2,Avengers: Infinity War,BV,"$678,815,482 ",4474,"$257,698,183 ",4474,4/27/18
3,Avengers: Endgame,BV,"$644,506,419 ",4662,"$357,115,007 ",4662,4/26/19
4,Marvel's The Avengers,BV,"$623,357,910 ",4349,"$207,438,708 ",4349,5/4/12
5,Avengers: Age of Ultron,BV,"$459,005,868 ",4276,"$191,271,109 ",4276,5/1/15
6,Captain Marvel ,BV,"$421,451,815 ",4310,"$153,433,423 ",4310,3/8/19
7,Iron Man 3,BV,"$409,013,994 ",4253,"$174,144,585 ",4253,5/3/13
8,Captain America: Civil War,BV,"$408,084,349 ",4226,"$179,139,142 ",4226,5/6/16
9,Spider-Man,Sony,"$403,706,375 ",3876,"$114,844,116 ",3615,5/3/02
10,Guardians of the Galaxy Vol. 2,BV,"$389,813,101 ",4347,"$146,510,104 ",4347,5/5/17
11,Spider-Man 2,Sony,"$373,585,825 ",4166,"$88,156,227 ",4152,6/30/04
12,Deadpool,Fox,"$363,070,709 ",3856,"$132,434,639 ",3558,2/12/16
13,Spider-Man 3,Sony,"$336,530,303 ",4324,"$151,116,516 ",4252,5/4/07
14,Spider-Man: Homecoming,Sony,"$334,201,140 ",4348,"$117,027,503 ",4348,7/7/17
15,Guardians of the Galaxy,BV,"$333,176,600 ",4088,"$94,320,883 ",4080,8/1/14
16,Deadpool 2,Fox,"$318,491,426 ",4349,"$125,507,153 ",4349,5/18/18
17,Iron Man,Par.,"$318,412,101 ",4154,"$98,618,668 ",4105,5/2/08
18,Thor: Ragnarok,BV,"$315,058,289 ",4080,"$122,744,989 ",4080,11/3/17
19,Iron Man 2,Par.,"$312,433,331 ",4390,"$128,122,480 ",4380,5/7/10
20,The Amazing Spider-Man,Sony,"$262,030,663 ",4318,"$62,004,688 ",4318,7/3/12
21,Captain America: The Winter Soldier,BV,"$259,766,572 ",3938,"$95,023,721 ",3938,4/4/14
22,X-Men: The Last Stand,Fox,"$234,362,462 ",3714,"$102,750,665 ",3690,5/26/06
23,X-Men: Days of Future Past,Fox,"$233,921,534 ",4001,"$90,823,660 ",3996,5/23/14
24,Doctor Strange,BV,"$232,641,920 ",3882,"$85,058,311 ",3882,11/4/16
25,Logan (2017),Fox,"$226,277,068 ",4071,"$88,411,916 ",4071,3/3/17
26,Big Hero 6,BV,"$222,527,828 ",3773,"$56,215,889 ",3761,11/7/14
27,Ant-Man and the Wasp,BV,"$216,648,740 ",4206,"$75,812,205 ",4206,7/6/18
28,X2: X-Men United,Fox,"$214,949,694 ",3749,"$85,558,731 ",3741,5/2/03
29,Venom (2018),Sony,"$213,515,506 ",4250,"$80,255,756 ",4250,10/5/18
30,Thor: The Dark World,BV,"$206,362,140 ",3841,"$85,737,841 ",3841,11/8/13
31,The Amazing Spider-Man 2,Sony,"$202,853,933 ",4324,"$91,608,337 ",4324,5/2/14
32,Spider-Man: Into The Spider-Verse,Sony,"$190,241,310 ",3813,"$35,363,376 ",3813,12/14/18
33,Thor,Par.,"$181,030,624 ",3963,"$65,723,338 ",3955,5/6/11
34,Ant-Man,BV,"$180,202,163 ",3868,"$57,225,526 ",3856,7/17/15
35,X-Men Origins: Wolverine,Fox,"$179,883,157 ",4102,"$85,058,003 ",4099,5/1/09
36,Captain America: The First Avenger,Par.,"$176,654,505 ",3715,"$65,058,524 ",3715,7/22/11
37,X-Men,Fox,"$157,299,717 ",3112,"$54,471,475 ",3025,7/14/00
38,X-Men: Apocalypse,Fox,"$155,442,489 ",4153,"$65,769,562 ",4150,5/27/16
39,Fantastic Four (2005),Fox,"$154,696,080 ",3619,"$56,061,504 ",3602,7/8/05
40,X-Men: First Class,Fox,"$146,408,305 ",3692,"$55,101,604 ",3641,6/3/11
41,The Incredible Hulk,Uni.,"$134,806,913 ",3508,"$55,414,050 ",3505,6/13/08
42,The Wolverine,Fox,"$132,556,852 ",3924,"$53,113,752 ",3924,7/26/13
43,Hulk,Uni.,"$132,177,234 ",3674,"$62,128,420 ",3660,6/20/03
44,Fantastic Four: Rise of the Silver Surfer,Fox,"$131,921,738 ",3963,"$58,051,684 ",3959,6/15/07
45,Ghost Rider,Sony,"$115,802,596 ",3620,"$45,388,836 ",3619,2/16/07
46,Daredevil,Fox,"$102,543,518 ",3474,"$40,310,419 ",3471,2/14/03
47,Blade II,NL,"$82,348,319 ",2707,"$32,528,016 ",2707,3/22/02
48,Blade,NL,"$70,087,718 ",2389,"$17,073,856 ",2322,8/21/98
49,Fantastic Four,Fox,"$56,117,548 ",4004,"$25,685,737 ",3995,8/7/15
50,Blade: Trinity,NL,"$52,411,906 ",2912,"$16,061,271 ",2912,12/8/04
51,Ghost Rider: Spirit of Vengeance,Sony,"$51,774,002 ",3174,"$22,115,334 ",3174,2/17/12
52,The Punisher,Lions,"$33,810,189 ",2649,"$13,834,527 ",2649,4/16/04
53,Elektra,Fox,"$24,409,722 ",3204,"$12,804,793 ",3204,1/14/05
54,Howard the Duck,Uni.,"$16,295,774 ",1563,"$5,070,136 ",1554,8/1/86
55,Punisher: War Zone,LGF,"$8,050,977 ",2508,"$4,271,451 ",2508,12/5/08
